group_by,group_value,n,claim_count,paid_amount_sum,denial_rate_numerator,denial_rate_denominator,denial_rate,fraud_rate_numerator,fraud_rate_denominator,fraud_rate,small_group_flag
provider_specialty+network_status,Critical Access Hospital|Out-of-Network,281,281,249992.92,22,264,0.08333333333333333,17,281,0.060498220640569395,False
provider_specialty+network_status,DME Supplier|In-Network,841,841,634611.68,80,809,0.09888751545117429,38,841,0.04518430439952437,False
provider_specialty+network_status,Diagnostic Radiology|Out-of-Network,71,71,66168.88,4,68,0.058823529411764705,5,71,0.07042253521126761,False
provider_specialty+network_status,Endocrinology|In-Network,418,418,343979.67000000004,49,399,0.12280701754385964,18,418,0.0430622009569378,False
provider_specialty+network_status,Endocrinology|Out-of-Network,91,91,75020.75000000001,6,83,0.07228915662650602,4,91,0.04395604395604396,False
provider_specialty+network_status,Family Medicine|In-Network,421,421,353444.66000000003,39,410,0.0951219512195122,20,421,0.047505938242280284,False
provider_specialty+network_status,Family Medicine|Out-of-Network,165,165,136289.71,18,162,0.1111111111111111,9,165,0.05454545454545454,False
provider_specialty+network_status,Gastroenterology|In-Network,200,200,135994.03999999998,23,193,0.11917098445595854,12,200,0.06,False
provider_specialty+network_status,General Acute Care Hospital|In-Network,351,351,243620.43000000002,30,332,0.09036144578313253,14,351,0.039886039886039885,False
provider_specialty+network_status,General Acute Care Hospital|Out-of-Network,268,268,220031.84000000003,23,259,0.0888030888030888,9,268,0.033582089552238806,False
provider_specialty+network_status,Geriatrics|In-Network,415,415,334138.31000000006,41,398,0.10301507537688442,31,415,0.0746987951807229,False
provider_specialty+network_status,Geriatrics|Out-of-Network,100,100,75009.93,7,94,0.07446808510638298,4,100,0.04,False
provider_specialty+network_status,Home Health|In-Network,358,358,265949.32999999996,29,345,0.08405797101449275,18,358,0.05027932960893855,False
provider_specialty+network_status,Internal Medicine|In-Network,559,559,387765.97000000003,59,541,0.10905730129390019,28,559,0.05008944543828265,False
provider_specialty+network_status,Internal Medicine|Out-of-Network,77,77,66075.49999999999,9,76,0.11842105263157894,5,77,0.06493506493506493,False
provider_specialty+network_status,Nephrology|In-Network,413,413,274528.22,37,393,0.09414758269720101,18,413,0.043583535108958835,False
provider_specialty+network_status,Nephrology|Out-of-Network,80,80,35531.240000000005,9,77,0.11688311688311688,2,80,0.025,False
provider_specialty+network_status,Neurology|In-Network,178,178,117851.69,12,173,0.06936416184971098,10,178,0.056179775280898875,False
provider_specialty+network_status,Neurology|Out-of-Network,93,93,95775.56999999998,6,92,0.06521739130434782,9,93,0.0967741935483871,False
provider_specialty+network_status,OB/GYN|In-Network,363,363,304013.21,30,348,0.08620689655172414,18,363,0.049586776859504134,False
provider_specialty+network_status,Oncology|In-Network,329,329,218319.95,38,314,0.12101910828025478,19,329,0.057750759878419454,False
provider_specialty+network_status,Oncology|Out-of-Network,76,76,69219.84,9,70,0.12857142857142856,2,76,0.02631578947368421,False
provider_specialty+network_status,Orthopedic Surgery|In-Network,685,685,442598.51,79,663,0.1191553544494721,43,685,0.06277372262773723,False
provider_specialty+network_status,Outpatient Clinic|In-Network,410,410,310473.0800000001,29,386,0.07512953367875648,26,410,0.06341463414634146,False
provider_specialty+network_status,Outpatient Clinic|Out-of-Network,71,71,55060.969999999994,7,69,0.10144927536231885,5,71,0.07042253521126761,False
provider_specialty+network_status,Pediatrics|In-Network,499,499,414771.48,53,478,0.1108786610878661,29,499,0.05811623246492986,False
provider_specialty+network_status,Physical Therapy|In-Network,297,297,203136.16999999998,38,285,0.13333333333333333,16,297,0.05387205387205387,False
provider_specialty+network_status,Physical Therapy|Out-of-Network,102,102,95888.54,12,94,0.1276595744680851,4,102,0.0392156862745098,False
provider_specialty+network_status,Psychiatry|In-Network,191,191,146237.02000000002,21,180,0.11666666666666667,9,191,0.04712041884816754,False
provider_specialty+network_status,Pulmonology|In-Network,453,453,357491.43000000005,40,437,0.09153318077803203,22,453,0.04856512141280353,False
provider_specialty+network_status,Pulmonology|Out-of-Network,90,90,50050.240000000005,7,86,0.08139534883720931,3,90,0.03333333333333333,False
provider_specialty+network_status,SNF|In-Network,889,889,753010.58,97,860,0.1127906976744186,29,889,0.03262092238470191,False
provider_specialty+network_status,SNF|Out-of-Network,75,75,80662.28,6,73,0.0821917808219178,7,75,0.09333333333333334,False
provider_specialty+network_status,Urology|In-Network,454,454,339071.8,46,441,0.10430839002267574,26,454,0.05726872246696035,False
provider_specialty+network_status,Urology|Out-of-Network,160,160,145039.44999999998,18,156,0.11538461538461539,5,160,0.03125,False
